State,County,Index,Density,Population,Female Share,Caucasian Share,Less Than High School,Below Poverty Percent,UnEmployement,Pop Per SqMile,Homocides,Firearms Homocides,Strictness
California,Nevada County|California,81,0.578652,98262,50.7,6.2000000000000028,5.7000000000000028,12,9.3000000000000007,103.1,2,2,Strict
California,Orange County|California,81,0.998567,3121854,50.5,25.900000000000006,16.200000000000003,12.4,7.5,"3,807.7",70,44,Strict
California,Placer County|California,81,0.862128,367339,51.2,13.700000000000003,6.4000000000000057,8.7,9.3000000000000007,247.6,2,2,Strict
California,Plumas County|California,81,0.259759,18877,49.9,8.9000000000000057,10.099999999999994,15.2,14.5,7.8,0,0,Strict
California,Riverside County|California,81,0.953777,2296956,50.2,19.299999999999997,20.400000000000006,16.2,12.1,303.8,93,66,Strict
California,Sacramento County|California,81,0.979379,1463149,51.1,34.900000000000006,14.099999999999994,17.6,10.4,"1,470.8",76,49,Strict
California,San Benito County|California,81,0.759956,57594,49.9,11.5,23.099999999999994,11.9,13.9,39.8,1,1,Strict
California,San Bernardino County|California,81,0.952655,2093306,50.2,22.5,21.799999999999997,18.7,11.800000000000001,101.5,116,70,Strict
California,San Diego County|California,81,0.96703,3222558,49.7,23.400000000000006,14.5,14.4,8.9000000000000004,735.8,72,30,Strict
California,San Francisco County|California,81,1,841138,49.1,45.700000000000003,13.700000000000003,13.5,7.2000000000000002,"17,179.1",48,31,Strict
California,San Joaquin County|California,81,0.915271,705027,50.2,31.599999999999994,22.700000000000003,18.2,15,492.6,65,48,Strict
California,San Luis Obispo County|California,81,0.834036,276284,49,10.799999999999997,10.400000000000006,14.3,8,81.7,5,4,Strict
California,San Mateo County|California,81,0.98109,750489,50.7,36.700000000000003,11.400000000000006,7.6,6.5999999999999996,"1,602.2",19,14,Strict
California,Santa Barbara County|California,81,0.949825,436076,49.7,14,20.900000000000006,16,8,155,11,4,Strict
California,Santa Clara County|California,81,0.989163,1871107,49.7,42.799999999999997,13.5,10.2,8.4000000000000004,1381,26,14,Strict
California,Santa Cruz County|California,81,0.879607,269444,50.3,12.099999999999994,15.099999999999994,14.6,11.1,589.4,13,9,Strict
California,Shasta County|California,81,0.707137,179137,50.9,11.200000000000003,11.599999999999994,17.5,13.199999999999999,46.9,4,1,Strict
California,Sierra County|California,81,0.002778,3040,49.7,5.2999999999999972,10.599999999999994,19.4,14.4,3.4,0,0,Strict
California,Siskiyou County|California,81,0.341737,43773,50.3,12.599999999999994,11,21,15.199999999999999,7.2,1,0,Strict
California,Solano County|California,81,0.962815,425219,50.1,39.299999999999997,12.799999999999997,13,10,503,32,22,Strict
California,Sonoma County|California,81,0.876465,495432,50.9,12.299999999999997,13.299999999999997,11.9,8.4000000000000004,307.1,6,2,Strict
California,Stanislaus County|California,81,0.920193,526286,50.5,15.700000000000003,23.599999999999994,20.3,15,344.2,32,23,Strict
